Role Family,Role,Role Description,Role Level,Role Level Description,Skill Name,Skill Description,Skill Level,Skill Level Description,Role Type
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Change management,"Change management involves managing changes to services, organisations, suppliers or configuration items, and the associated documentation.",Working,"You can:
- analyse and assess the impact of change
- document change requests
- action changes from change requests",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Community collaboration,"Collaboration in the Government Digital and Data profession typically involves working in a multidisciplinary project team, and contributing to working groups and wider professional communities. It requires a broad understanding of the technologies, principles and perspectives of related professions.",Working,"You can:
- contribute to the work of others
- motivate and empower teams
- create the right environment for teams to work in, and can identify the best team makeup depending on the situation
- recognise and deal with issues",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Continual service improvement,,Working,"You can:
- identify process optimisation opportunities with guidance, and contribute to the implementation of proposed solutions",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Continuity management,Continuity management involves clearly defining processes and remediation plans to ensure the availability of systems and services in the event of unplanned downtime.,Awareness,"You can:
- explain the basic principles of IT standard continuity management processes and procedures",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Incident management,"Incident management involves coordinating the response to incident reports, ensuring effective prioritisation, investigation and resolution.",Awareness,"You can:
- identify and register incidents, gathering the required information and allocating it to the appropriate channel",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Ownership and initiative,MISSING,Working,"You can:
- own an issue until a new owner has been found or the problem has been mitigated or resolved",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Problem management,"Problem management involves anticipating and identifying problems in systems, processes or services, and ensuring appropriate solutions are implemented.",Awareness,"You can:
- investigate problems in systems, processes and services, with an understanding of the level of a problem, for example, strategic, tactical or operational
- contribute to the implementation of remedies and preventative measures",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Service focus,"Service focus involves overseeing the whole service life cycle, including the design, development, deployment and operation of a service.",Working,"You can:
- take inputs and establish coherent frameworks that work",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Service management framework knowledge,"IT service management involves identifying, prioritising and implementing IT services, ensuring the organisation gets maximum value for money.",Awareness,"You can:
- show you have a Level 3 service management framework qualification",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",Technical understanding,,Awareness,"You can:
- show an awareness of the relevant subject matter and a high level understanding of what it involves",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service readiness analyst,"A service readiness analyst tests the products and is accountable for application acceptance and checking whether security criteria have been met. At this level, you will flag any potential risks and escalate these to the service transition manager.",User focus,User focus involves understanding the user needs to develop a detailed understanding of the problems that need to be solved.,Working,"You can:
- identify and engage with users or stakeholders to collate user needs evidence
- understand and define research that fits user needs
- use quantitative and qualitative data about users to turn user focus into outcomes",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Asset and configuration management,"Asset and configuration management involves managing the life cycle of IT assets, such as hardware, software, intellectual property, licences and warranties, the configuration of components, and the relationships between them. Consideration is given to the usage, disposal, compliance, inventory, sustainability, cost optimisation and protection of the IT asset portfolio.",Working,"You can:
- maintain secure configuration and accurate information
- control IT assets in one or more areas
- verify the location and state of IT assets",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Availability and capacity management,"Availability and capacity management involves ensuring services are available with as little downtime or disruption as possible, and that we have sufficient resources to support emerging business needs.",Working,"You can:
- manage service components to ensure they meet business needs and key performance indicators (KPIs)",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Change management,"Change management involves managing changes to services, organisations, suppliers or configuration items, and the associated documentation.",Working,"You can:
- analyse and assess the impact of change
- document change requests
- action changes from change requests",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Community collaboration,"Collaboration in the Government Digital and Data profession typically involves working in a multidisciplinary project team, and contributing to working groups and wider professional communities. It requires a broad understanding of the technologies, principles and perspectives of related professions.",Working,"You can:
- contribute to the work of others
- motivate and empower teams
- create the right environment for teams to work in, and can identify the best team makeup depending on the situation
- recognise and deal with issues",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Continual service improvement,,Working,"You can:
- identify process optimisation opportunities with guidance, and contribute to the implementation of proposed solutions",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Continuity management,Continuity management involves clearly defining processes and remediation plans to ensure the availability of systems and services in the event of unplanned downtime.,Awareness,"You can:
- explain the basic principles of IT standard continuity management processes and procedures",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Incident management,"Incident management involves coordinating the response to incident reports, ensuring effective prioritisation, investigation and resolution.",Working,"You can:
- diagnose and prioritise incidents, investigate their causes and find resolutions",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Ownership and initiative,MISSING,Working,"You can:
- own an issue until a new owner has been found or the problem has been mitigated or resolved",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Problem management,"Problem management involves anticipating and identifying problems in systems, processes or services, and ensuring appropriate solutions are implemented.",Working,"You can:
- initiate and monitor actions to investigate patterns and trends to resolve problems
- effectively consult specialists where required
- determine the appropriate resolution and assist with its implementation
- determine preventative measures",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Service focus,"Service focus involves overseeing the whole service life cycle, including the design, development, deployment and operation of a service.",Practitioner,"You can:
- see the bigger picture by taking groups of services and investigating how to get the best of underlying services",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Service management framework knowledge,"IT service management involves identifying, prioritising and implementing IT services, ensuring the organisation gets maximum value for money.",Working,"You can:
- show you have a Level 3 service management framework qualification
- demonstrate knowledge of the life cycle or capability elements of ITIL (Information Technology Infrastructure Library)",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",Technical understanding,,Working,"You can:
- understand the core technical concepts related to the role, and apply them with guidance",
IT operations,Service transition manager,"IT service transition managers provide overall planning for service transitions and co-ordinate the required resources. In this role, you will control the product life cycle of all changes, enabling beneficial changes to be made with minimum disruption to IT services.",Service transition manager,"A service transition manager accepts products, determines whether they are fit for purpose and assesses readiness against agreed service acceptance criteria.

At this role level, you will:
- make recommendations on go-live, early-life support and service acceptance
- ensure that the acceptance criteria are understood by the wider IT operations",User focus,User focus involves understanding the user needs to develop a detailed understanding of the problems that need to be solved.,Working,"You can:
- identify and engage with users or stakeholders to collate user needs evidence
- understand and define research that fits user needs
- use quantitative and qualitative data about users to turn user focus into outcomes",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",Adapting to delivery methodologies,"Adapting to delivery methodologies involves contributing to discussions on the appropriate delivery methodology to use, and adapting your approach based on the delivery methodology of the team.",Working,"You can:
- explain how products and services are delivered through different methodologies
- follow an appropriate approach to complete your work within the delivery methodology used by your team
- adapt how you work and the work you produce based on your team's delivery methodology to ensure you deliver value
- adapt how you work with other roles in a multidisciplinary team in line with the delivery methodology",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",Business modelling,Business modelling involves documenting how your business operates and intends to achieve its goals.,Working,"You can:
- model various elements of the business with limited direction
- understand the impact of potential changes and how business processes, systems, data, roles and responsibilities interact",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",Business process improvement,"Business process improvement involves creating appropriate artefacts and analysing, modifying and testing existing and new processes to make them more efficient.",Working,"You can:
- analyse and evaluate business processes to identify problems and opportunities
- design, prioritise and facilitate the implementation of business process improvements, with some support
- validate improvements to business processes through testing",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others","Context, problem and option analysis","Context, problem and option analysis involves holistically investigating the context for a piece of work to define the problem or opportunity, understand root causes, identify high level business and user needs and shape the work to address those needs.",Working,"You can:
- plan and use the most appropriate analysis techniques to understand the context, the problem and root causes
- communicate how your work supports and aligns to strategic contexts and goals
- define problem statements and develop and evaluate multiple options
- formulate recommendations, considering feasibility, benefits and impact",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others","Context, problem and option analysis","Context, problem and option analysis involves holistically investigating the context for a piece of work to define the problem or opportunity, understand root causes, identify high level business and user needs and shape the work to address those needs.",Working,"You can:
- plan and use the most appropriate analysis techniques to understand the context, the problem and root causes
- communicate how your work supports and aligns to strategic contexts and goals
- define problem statements and develop and evaluate multiple options
- formulate recommendations, considering feasibility, benefits and impact",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",Requirements definition and management,Requirements definition and management involves identifying and validating user or business requirements for a product or service.,Working,"You can:
- identify, analyse, challenge and validate business and user requirements
- work under limited supervision to co-ordinate and review the prioritisation of requirements
- use appropriate requirements management life cycle methods to complete tasks and outputs related to the project",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",Stakeholder relationship management,"Stakeholder relationship management involves building trust, managing stakeholder expectations and communications, and remaining focused on user needs.",Working,"You can:
- identify important stakeholders and communicate with them clearly and regularly
- tailor communication to stakeholders' needs and work with them to build relationships while meeting user needs
- build and reach consensus with stakeholders
- work to improve stakeholder relationships using evidence to explain decisions",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",Systems analysis,"IT systems analysis involves assessing current systems and implementing new ones, to improve the performance and efficiency of an organisation's applications.",Working,"You can:
- identify and analyse IT system capabilities
- develop models and system requirements for bespoke IT systems or software packages, with minimal supervision",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",Testing (business analysis),Testing involves ensuring that requirements have been fully met by using appropriate tools and techniques to verify that a product or service works.,Working,"You can:
- understand the stages and purpose of testing and support the use of relevant tools and techniques
- identify business scenarios and develop acceptance criteria to ensure requirements can be traced to develop functionality
- review prototypes, test plans and test outcome reporting",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Business analyst,"A business analyst leads small to medium size projects and supports larger and more complex projects.

At this role level, you will:
- manage stakeholder relationships
- work independently
- have a good understanding of your work area
- develop the business analysis community by sharing best practice and mentoring others",User experience analysis,MISSING,Working,"You can:
- apply basic techniques to analyse, validate and prioritise user experience needs
- present findings in an accessible and easy to understand way to support data-informed decision making, based on user research",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Head of business analysis,The head of business analysis leads the business analysis function across the enterprise area and builds business analysis capability for the organisation.,Adapting to delivery methodologies,"Adapting to delivery methodologies involves contributing to discussions on the appropriate delivery methodology to use, and adapting your approach based on the delivery methodology of the team.",Expert,"You can:
- set and iterate standards for working within different delivery methodologies
- actively promote collaboration and agreement to ensure the team delivers value at the right time
- experiment with new and innovative ways of working to enhance delivery outcomes
- research new and evolving delivery methodologies and identify how your role would work within them",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Head of business analysis,The head of business analysis leads the business analysis function across the enterprise area and builds business analysis capability for the organisation.,Business modelling,Business modelling involves documenting how your business operates and intends to achieve its goals.,Expert,"You can:
- determine the scope and methodology for the representation of complex programmes across an organisation
- document conceptual models to support strategic planning and decision making",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Head of business analysis,The head of business analysis leads the business analysis function across the enterprise area and builds business analysis capability for the organisation.,Business process improvement,"Business process improvement involves creating appropriate artefacts and analysing, modifying and testing existing and new processes to make them more efficient.",Expert,"You can:
- lead the identification of large-scale opportunities to deliver business performance improvements
- set the direction for analysis, design and evaluation of business process improvements, including methods, tools and standards
- set the direction for design, execution and assessment of business process tests and usability evaluations
- coach others in designing, testing, implementing and assessing business process improvements",
Product and delivery,Business analyst,"Business analysts help teams to:
- analyse and understand a business problem or opportunity
- undertake research and analysis to understand how a business or business area works, considering the people, organisation, processes, information, data and technology
- identify areas for improvement, explore feasible options, analyse the effects of change and define success measures
- identify and elaborate user and business needs to enable effective design, development and testing of services and business change
- make decisions related to prioritisation and minimum viable product by using analysis led insights
- ensure new products and services meet business and user needs, and are aligned with organisational goals
- understand any business and policy constraints that need to be considered, and assess the implications",Head of business analysis,The head of business analysis leads the business analysis function across the enterprise area and builds business analysis capability for the organisation.,Consultancy,Consultancy involves providing specialist advice to address stakeholder and business needs.,Practitioner,"You can:
- provide advice and recommendations to stakeholders based on your significant specialist knowledge and experience
- lead the definition of guidance and inform how the organisation approaches delivery or uses digital and data skills more effectively",
