Skill Name,Skill Description,Awareness,Working,Practitioner,Expert,Roles that require Skill
Leadership and guidance (frontend developer),"Leadership and guidance involves providing effective leadership and management through team motivation, decision making, risk management, mediation and professional development","You can:
- follow agreed good practice for the team
- show an awareness of the importance of team dynamics and collaboration
- understand the importance of feedback","You can:
- understand the impact of decisions
- make decisions characterised by different levels of risk and complexity
- resolve technical disputes between wider peers and indirect stakeholders, taking into account all views and opinions","You can:
- make decisions characterised by medium levels of risk and complexity, and can recommend decisions as risk and complexity increase
- contribute to best practice guidelines","You can:
- change organisational structures to fixable and sustainable designs
- lead on the strategy for the whole organisation, marrying business needs with innovative analysis
- make and justify decisions characterised by high levels of risk, impact and complexity
- build consensus between organisations (private or public) or highly independent stakeholders
- solve and unblock issues between teams or departments at the highest level
- understand the psychology of a team and have strong mediation skills
- coach the organisation on team dynamics and conflict resolution",Frontend developer
Leading design,"Leadership and guidance involves providing effective leadership and management through team motivation, decision making, risk management, mediation and professional development.","You can:
- explain the role of user-centred design in an organisation
- describe typical leadership responsibilities in design
- identify leaders in your organisation that designers need to work with","You can:
- lead and coordinate design work in your team, with support
- communicate the value of user-centred design to your team
- support other designers
- work with digital and data leaders in your organisation, when needed","You can:
- lead and coordinate design work in a team
- advocate for user-centred design with leaders outside of digital and data
- create an inclusive, productive environment for designers to work in
- mentor and coach other designers
- iterate and improve design processes within your team","You can:
- set a vision for and lead design across multiple teams or a whole organisation
- work effectively with senior leaders across your organisation or wider public sector
- support a culture of learning and experimentation in your organisation
- iterate and measurably improve design maturity within your organisation and its partners","Graphic designer, Service designer, Interaction designer"
Leading digital products and services,"You can:
- work with all business areas to define the problems that need to be solved
- ensure roadmaps meet organisational strategic aims and that responsibility for delivery of the roadmap is shared appropriately across business areas
- decide when to manage, maintain or evolve products and services to deliver organisational outcomes and support seamless user journeys
Examples of leadership using this skill:
- partnering with senior leaders to determine how potential blockers in roadmaps will be managed 
- managing expectations on what the organisation has the capacity to deliver and pushing back when needed
- directing and agreeing resource, guidance and investment to ensure opportunities for innovation are acted upon, and live products and services are continuously developed",,,,,Chief digital and information officer
Leading performance and benefits,"Leading performance and benefits involves using appropriate measures, metrics, data and insights to ensure the delivery of valuable outcomes and business benefits.","You can:
- explain why it's important to manage performance and benefits
- describe data and metrics that are valuable in informing day-to-day service actions and decisions","You can:
- contribute to putting measures in place to deliver valuable outcomes to users and traceable business benefits
- use data and metrics to inform day-to-day service actions and decisions","You can:
- put measures in place to ensure the delivery of valuable outcomes to users and traceable business benefits
- use data and metrics to actively monitor, manage and prioritise service delivery and inform decision making
- identify and share appropriate data and insights with specific stakeholders","You can:
- ensure appropriate measures are in place to deliver valuable outcomes to users and agreed business benefits
- ensure metrics are used to monitor, manage and prioritise delivery and inform decision making
- demonstrate the value of the service and build understanding with stakeholders by ensuring effective data and insights are shared",Service owner
Life cycle management,"Life cycle management involves deciding what to do at different phases of the life cycle, including discovery, alpha, beta, live and retirement, and if it's the right time to move to a different phase.","You can:
- explain what each phase of the product or service life cycle is for
- explain how the needs of the product or service vary across phases of the life cycle, and how a team responds to them","You can:
- manage the delivery of products and services that add value through different phases of the life cycle, with some support
- identify if the product or service should move to the next phase and, if it should, how to do this
- ensure the product or service is developed in line with the appropriate service standards for a phase
- use new information to adapt approaches to life cycle management","You can:
- work and consult with the right people at the right time to move through the life cycle and deliver value
- use evidence to decide when a team should continue, change direction or stop
- identify tools and techniques required at different phases of the life cycle
- guide colleagues and stakeholders through different phases of the life cycle","You can:
- lead and coach teams through different phases of the life cycle
- ensure effective support for the product or service and its users
- predict, prevent, mitigate and manage potential risks at different phases of the life cycle
- contribute to the assessment of other teams, providing guidance and support","Delivery manager, Product manager, Programme delivery manager, Service owner"
Maintaining delivery momentum,Delivery management involves improving the speed and efficiency with which products and services are developed.,This skill level is currently not defined.,"You can:
- actively address internal risks and issues and know when to escalate them
- set the team cadence and tempo, ensuring it is sustainable
- track, manage, escalate and communicate dependencies
- actively remove or minimise risks, issues or dependencies where possible
- understand how the risks, issues or dependencies impact the work of a team","You can:
- facilitate the delivery flow of a team, managing the pace and tempo
- actively address internal and external risks, issues and dependencies including where ownership exists outside the team","You can:
- optimise the delivery flow of teams
- actively address the most complicated risks, issues and dependencies including where ownership exists outside the team or no clear ownership exists
- identify innovative ways to unblock issues","Delivery manager, Programme delivery manager"
Making and guiding decisions,,"You can:
- recommend decisions and describe the reasoning behind them
- identify and articulate technical disputes between direct peers and local stakeholders","You can:
- make decisions characterised by managed levels of risk and complexity, and recommend decisions as risk and complexity increase
- resolve technical disputes between wider peers and indirect stakeholders, considering all views and opinions","You can:
- make decisions characterised by medium levels of risk and complexity, and recommend decisions as risk and complexity increase
- build consensus between services or independent stakeholders","You can:
- make and justify decisions characterised by high levels of risk, impact and complexity
- build consensus between organisations (private or public) or highly independent and diverse stakeholders",Business architect
Making a process work,Process optimisation involves ensuring your processes are accurately defined and capture the most efficient way to complete a task by monitoring modified procedures.,This skill level is currently not defined.,"You can:
- guide teams to focus on the output rather than the process
- help the team to find a process that works for them
- support teams in establishing a process",This skill level is currently not defined.,"You can:
- identify and challenge organisational processes of increasing complexity and those processes that are unnecessarily complicated
- add value and can coach the organisation to inspect and adapt processes
- guide teams through the implementation of a new process","Delivery manager, Programme delivery manager"
Making architectural decisions,,"You can:
- describe the reasoning behind architectural design decisions
- gather information to inform decisions
- understand architectural governance and assurance relevant to your work","You can:
- work with others to make architectural design decisions characterised by managed levels of risk and complexity
- identify and address architectural risks relevant to your team or domain, for example, business, data, or security
- engage with architectural governance and assurance to effectively manage decisions and risks, with support","You can:
- make and guide architectural design decisions characterised by medium risk and complexity
- identify and address architectural risks that affect multiple teams or domains
- use architectural governance and assurance to make design decisions and manage technical risks at the appropriate level
- contribute to the development of architectural governance and assurance","You can:
- make and guide architectural design decisions characterised by high levels of risk and complexity
- identify and address architectural risks across the organisation or wider government
- lead and evolve architectural governance and assurance
- represent architectural governance as part of wider governance, for example, legal or commercial","Enterprise architect, Solution architect, Technical architect"
Making strategic performance-led change,"You can:
- partner with other business areas to set the metrics needed to measure progress towards organisational objectives
- monitor performance, recognising when to change direction of the organisation
- work with your partners to decide and deliver people, process and technology changes based on performance data
Examples of leadership using this skill:
- sharing performance indicators that are important for digital, data and technology with senior leaders in a way that influences metrics across the organisation
- translating performance insights into required change and negotiating with senior leaders to see this change through
- communicating performance-led insights and recommendations to the board that identify opportunities, highlight risks and show progress",,,,,Chief digital and information officer
Managing a data project,"Managing a data project involves understanding, planning and implementing the stages of a data project to solve a problem or design and improve a service.","You can:
- understand a problem statement and explain the intended outcome of a data project
- explain the importance of data in solving a problem
- explain why it's important to adapt your ways of working to deliver different project outcomes and requirements","You can:
- contribute to defining problem statements and gathering project requirements
- explain the importance of different processes and stages of the data project life cycle and contribute to their planning
- adapt your ways of working to deliver different project outcomes and requirements","You can:
- identify and define a problem statement
- apply and share project management methodologies, including tools and techniques
- plan and implement different stages of the data project life cycle
- communicate progress of data projects with stakeholders
- adapt teams' ways of working to deliver different project outcomes and requirements","You can:
- advise on problem statement development, ensuring standards are met 
- oversee and advise on the planning and implemation of the project life cycle on varied data projects
- share good practice in adapting teams' ways of working to deliver project outcomes
- lead and develop stakeholder relationships for your team's data projects",Data analyst
Managing decisions and risks,,"You can:
- identify technical disputes and describe them in ways that are relevant both to direct peers and to local stakeholders
- work collaboratively while recommending decisions and the reasoning behind them","You can:
- generate multiple solutions to a problem and test them","You can:
- work with consequential or complex risks
- build consensus between services or independent stakeholders
- lead others to make good design decisions
- apply different risk methodologies in proportion to the risk","You can:
- make and justify decisions characterised by high levels of risk, impact and complexity
- build consensus between organisations (private or public) or highly independent and diverse stakeholders
- be trusted by senior risk owners as an expert in security
- apply risk methodologies at the most complex levels of risk
- guide others in applying risk methodologies in proportion to the risk",Data ethicist
Managing product outcomes,"Managing product outcomes involves working with teams to identify key performance indicators and developing methods to ensure that value is achieved through your product, linking to the product vision and strategic goals.","You can:
- explain the importance of identifying and measuring product outcomes
- explain the need for baseline data
- identify and explain the priority outcomes for your product or feature","You can:
-  work with others to define key performance indicators that assess performance, value and outcomes
- analyse and use trusted data to make decisions and enable continuous improvement
- be open about your decision making
- identify and explain success metrics to your stakeholders and how the product can contribute to outcomes","You can:
- lead product teams to create effective methods for measuring product outcomes
- advocate for data-driven decision making
- help others prioritise to make better choices
- use data to drive continuous improvement, increasing quality and user experience
- identify opportunities to share and connect product data","You can:
- use data to make prioritisation decisions for multiple or complex projects, products or services
- use data to influence priorities of senior stakeholders
- guide and challenge teams to make better use of data
- guide and challenge teams to demonstrate achievement of outcomes
- identify opportunities to share and connect product data across government",Product manager
"Managing, reporting and resolving defects","Managing, reporting and resolving defects involves reporting progress, outcomes and issues, whilst contributing to improving defect management processes.","You can:
- explain how to report and track defects
- follow a defect management process to report, communicate and maintain defects with appropriate information
- retest and escalate defects when needed","You can:
- collaborate with others to create a defect management process to report, communicate and resolve defects, with support
- critically assess dependencies, defects and risks, with support
- contribute to mitigation and contingency plans
- clearly communicate risks and the impact of defects to stakeholders","You can:
- contribute to developing standards for defect management processes
- manage and escalate dependencies, defects and risks across teams
- contribute to mitigation and contingency plans across teams
- use defect patterns and trends to make recommendations on testing and quality approaches, with support
- manage stakeholder expectations and communications during defect resolution","You can:
- lead and coach others in improving test and defect management processes
- support others in assessing complex and challenging defects across the organisation
- lead and coach others in using defect patterns and trends to make tactical and strategic recommendations
- influence improvements to quality processes, informed by defect patterns and trends","Quality assurance test analyst, Test engineer, Test manager"
Metadata management,Metadata management involves establishing policies and processes that ensure data can be accessed across an organisation.,"You can:
- explain what metadata is
- maintain the information stored in metadata repositories under the direction of others","You can:
- use metadata repositories to complete complex tasks such as data and systems integration impact analysis
- maintain a metadata repository to ensure information remains accurate and up to date","You can:
- design an appropriate metadata repository
- suggest changes to improve current metadata repositories
- understand a range of tools for storing and working with metadata
- advise less experienced members of the team about metadata management","You can:
- identify how metadata repositories can support different areas of the organisation
- communicate the value of metadata repositories
- set up robust governance processes to keep repositories up to date","Analytics engineer, Data engineer, Data architect"
Methods and tools,,"You can:
- follow advice to apply the most appropriate tools and techniques to support the planning, analysis, development, testing, implementation and improvement of systems and services","You can:
- select and use the most appropriate tools and techniques to support the planning, analysis, development, testing, implementation and improvement of systems and services within a project","You can:
- build capability in methods and tools, ensuring they are adopted consistently and used effectively","You can:
- set direction and give others the means and authority to advise on the best methodologies and tools for the work, ensuring they are adopted consistently
- assess the effectiveness of different approaches (such as Agile or plan-driven) and recommend tools to support organisational collaboration and build capability",Business architect
Modern development standards,Modern development standards involves using the latest technologies and best practices to improve the quality of the software development process.,"You can:
- explain the importance of using modern development standards","You can:
- explain the most important principles of modern development standards and how they apply to your work
- apply apply modern development standards principles under guidance","You can:
- apply modern development standards and support others in applying them","You can:
- identify and apply modern development standards to support complex projects and programmes
- lead others in applying modern development standards","Frontend developer, Software developer, Infrastructure engineer, Development operations (DevOps) engineer"
Monitoring and evaluation across the product life cycle,Monitoring and evaluation across the product life cycle involves effectively integrating evaluation activities into different stages of the delivery process.,"You can:
- describe how evaluation needs and activities vary at different phases of the product life cycle","You can:
- ensure the team is measuring performance as appropriate for the relevant service standard phase
- manage the delivery of evaluation of services or products at different phases
- plan and look at data requirements in future phases","You can:
- apply monitoring and evaluation techniques in multiple parts of the product life cycle
- recommend when to move forward and when to stop
- work with other Agile delivery disciplines throughout the product life cycle
- plan and proactively engage with stakeholders at the appropriate stage of the project","You can:
- lead and champion best practice, and identify improvements to current approaches for monitoring and evaluation through the product life cycle
- identify and raise evaluation or product risks during any stage of the product life cycle
- coach, guide and support teams moving through the product life cycle phases",Digital evaluator
Operational management,Operational management involves ensuring the operational processes of a product or service are effective and robust.,"You can:
- explain the operational processes of running and maintaining a product or service
- fix operational issues, under supervision","You can:
- contribute to the design of operational processes for the running and maintenance of products and services
- identify and share opportunities for improvements to operational processes
- fix operational issues, with some support","You can:
- design operational processes for throughout the service life cycle
- redesign and amend existing operational processes
- fix complex operational issues
- act as an escalation point for operational issues
- work closely with operational delivery teams","You can:
- ensure a scalable operating model is in place to provide a resilient, high quality service
- coordinate teams from operations, policy, digital and delivery to operate and iterate a service
- ensure teams understand the importance of efficient service operations
- identify and overcome operational constraints
- act as the escalation point for major operational issues",Service owner
Optimising technology and data architecture,"You can:
- ensure that technology and data architecture optimises how the organisation delivers outcomes
- oversee the development and performance of technology and data standards to support the changing landscape whilst ensuring inclusivity, security and ethical practices
- ensure interoperability in technology and data to support organisational and cross-government delivery
Examples of leadership using this skill:
- increasing the board’s understanding of the technology and data architecture needed to make use of emerging technologies in the changing digital, data and technology landscape
- providing thought leadership and building partnerships in cross-government and external networks to increase and support interoperability
- setting the agenda for reusability and sustainability in digital, data and technology",,,,,Chief digital and information officer
Ownership and initiative,,"You can:
- show an awareness of problem resolution processes
- pass problems on to your team","You can:
- own an issue until a new owner has been found or the problem has been mitigated or resolved","You can:
- take accountability for issues that occur and be proactive in searching for potential problems
- achieve excellent user outcomes",This skill level is currently not defined.,"Application operations engineer, Business relationship manager, Problem manager, Service desk manager, Incident manager, IT service manager, Command and control centre manager, End user computing engineer, Infrastructure engineer, Infrastructure operations engineer, Service transition manager"
Performance measurement,"Performance measurement involves collecting and interpreting data to identify how a team, product or service is performing.","You can:
- explain the importance of performance measurement and business objectives","You can:
- participate in discussions determining which performance measurements are appropriate, with guidance from more experienced colleagues
- demonstrate experience in turning business needs and goals into performance measures","You can:
- lead the development of performance measurement frameworks including Key Performance Indicators (KPIs)
- demonstrate a deep understanding of business goals and can turn these into tangible performance measures","You can:
- oversee the development and consistency of performance measurement frameworks across multiple projects
- ensure that these frameworks are aligned to business needs and strategy",Performance analyst
Planning,,"You can:
- understand the importance of planning and forecasting
- show an awareness of the different ways to develop a plan",This skill level is currently not defined.,"You can:
- understand the environment and prioritise the most important or high value tasks
- use data to inform planning
- manage complex internal and external dependencies
- provide delivery confidence
- remove blockers or impediments that affect plans and can develop a plan for difficult situations
- ensure that teams plan appropriately for their capacity","You can:
- lead a continual planning process in a very complex environment
- plan beyond product delivery
- identify dependencies in plans across services and co-ordinate delivery
- coach other teams as the central point of expertise","Delivery manager, Digital portfolio manager, Programme delivery manager"
Problem definition and shaping,,"You can:
- explain the strategic context of your work and why it is important
- collect information that helps with understanding organisational problems
- use architectural representations produced by others, such as a problem definition statement, to support a team","You can:
- help to frame a problem characterised by managed levels of complexity, complication, or risk so that a solution can be created
- help to create options for solving problems at an appropriate level of detail","You can:
- frame a problem characterised by medium complexity, complication, or risk so that a solution can be created
- produce architectural representations that enable different teams to have a shared understanding of problems throughout the life cycle
- describe options for solving problems so that appropriate delivery methods can be decided","You can:
- lead the framing of a problem characterised by high complexity, complication, or risk so that a solution can be created
- coach others in defining problems and describing appropriate options for solutions
- help others challenge requirements and assumptions, and identify opportunities when defining problems and solution options","Enterprise architect, Solution architect"
Problem management,"Problem management involves anticipating and identifying problems in systems, processes or services, and ensuring appropriate solutions are implemented.","You can:
- investigate problems in systems, processes and services, with an understanding of the level of a problem, for example, strategic, tactical or operational
- contribute to the implementation of remedies and preventative measures","You can:
- initiate and monitor actions to investigate patterns and trends to resolve problems
- effectively consult specialists where required
- determine the appropriate resolution and assist with its implementation
- determine preventative measures","You can:
- ensure that the right actions are taken to investigate, resolve and anticipate problems
- co-ordinate the team to investigate problems, implement solutions and take preventive measures","You can:
- anticipate problems and defend against them at the right time
- understand how a problem fits into the larger picture
- identify and describe problems, and help others to describe them
- build problem-solving capabilities in others","Analytics engineer, Data engineer, Data architect, Data ethicist, Application operations engineer, Problem manager, Incident manager, Command and control centre manager, End user computing engineer, Infrastructure engineer, Infrastructure operations engineer"
Product and service monitoring,Product and service monitoring involves developing a theory of change and measurement frameworks to understand effects of services on the user and the economy.,"You can:
- describe what a ‘theory of change’ is
- identify some appropriate stakeholders to involve in developing a theory of change
- describe common issues when measuring performance indicators
- explain the difference between analysis of digital performance and broader monitoring of a product, for example against strategic objectives","You can:
- develop a ‘theory of change’ for product or services through discussion with stakeholders, with support
- identify and present options for measuring indicators to stakeholders
- turn some identified theory of change indicators into measurement frameworks for a digital service
- support the development of a performance dashboard","You can:
- develop a ‘theory of change’ for product or services through discussion with stakeholders
- turn theory of change indicators into measurement frameworks for a digital service
- work with performance analysts to develop a performance dashboard reporting service analytics and other identified indicators","You can:
- get support from senior stakeholders for the need to develop theories of change
- provide guidance on how to develop theories of change
- define best practice and methodologies for measuring indicators, including economic outcomes, and communicating limitations",Digital evaluator
Product leadership,"Product leadership involves advocating for product management, encouraging a user-focussed, product-led approach and contributing to a self-sustaining product community.","You can:
- describe how product management works with other roles in a multi-disciplinary team
- explain how user and business needs should be balanced in product development
- attend product management community activities","You can:
- advocate for your product and a product-led approach
- seek opportunities for reuse and learning in your area
- protect the team, for example, from unnecessary distractions or requests to change direction
- consult and mediate with stakeholders
- participate in product management community activities","You can:
- seek opportunities for reuse and learning across your organisation
- represent product management in your area in conversations with senior stakeholders
- protect teams, for example, from unnecessary distractions and requests to change direction
- coach and manage others in product management
- lead some product management community activities and participate in cross-government communities","You can:
- seek opportunities for reuse and learning across government
- co-ordinate the product management community
- lead on coaching and mentoring for product management in your organisation
- lead some activities in cross-government communities, establishing and maintaining wider relationships across the profession
- represent product management in your organisation in conversations with senior stakeholders",Product manager
Product management,"Product management involves making sure that products provide value and drive the right outcomes, whilst balancing user and business needs. This is achieved by working with other professions in your team to frame the problem and make decisions on priorities for your delivery teams.","You can: 
- explain the value of using a product management approach to provide value and drive the right outcomes","You can: 
- create and prioritise actionable goals for your teams, balancing user needs and business perspectives
- make or recommend an evidence-based decision using insight and data
- use a range of product management methods, for example, prioritisation and roadmapping
- work with others in multidisciplinary teams to plan and deliver high-quality product increments","You can:
- work with your team to investigate and validate what adds value now and what could add value in future
- create a prioritised roadmap and use it to discuss your product strategy with stakeholders
- address uncertainty while managing scope, ensuring critical deadlines are met and value delivered
- recommend a range of product management methods
- work in the open and share your work","You can:
- set the strategy and vision for your products, collaborating with others
- create a prioritised roadmap for your products and use it to discuss product strategy at all levels
- plan prioritised work across multiple teams, minimising dependencies and risks
- support multiple teams in delivering quality outcomes in the right way
- coach and mentor others in product management",Product manager
Product ownership (data ethics),,This skill level is currently not defined.,This skill level is currently not defined.,"You can:
- develop data ethics tools and translate theoretical principles into practice
- use a range of product management principles and approaches
- consider new ways of working and adapt to change
- capture and translate user needs into deliverables
- demonstrate familiarity with feedback gathering, evaluation mechanisms and product promotion","You can:
- define and create organisation-wide data ethics tools and translate theoretical principles into practice
- demonstrate expertise in product management principles and approaches
- set new ways of working and adapt to change
- capture and translate user needs into deliverables
- demonstrate expertise in feedback gathering, evaluation mechanisms and product promotion",Data ethicist
Programming and build (data engineering),,This skill level is currently not defined.,"You can:
- design, code, test, correct and document simple programs or scripts under the direction of others","You can:
- use agreed standards and tools to design, code, test, correct and document moderate-to-complex programs and scripts from agreed specifications and subsequent iterations
- collaborate with others to review specifications where appropriate","You can:
- set local or team-based standards for programming tools and techniques and can select appropriate development methods
- advise on the application of standards and methods and ensure compliance
- take technical responsibility for all stages and iterations in a software development project, providing method-specific technical advice and guidance to project stakeholders","Analytics engineer, Data engineer"
Programming and build (data science),,"You can:
- show a basic understanding of software development principles and can write simple scripts under supervision","You can:
- write and test scripts and create basic models in one or more languages
- collaborate on shared codebases, using a variety of methodologies","You can:
- write moderate to complex programs and scripts
- show a good understanding of testing methodologies and how to deploy code","You can:
- write complex programs and scripts
- seek to make code open source where appropriate
- supervise junior analysts and set coding standards for your team
- understand software architecture and how to write efficient, optimised code
- perform user testing on products prior to launch",Data scientist
Programming and build (frontend developer),,"You can:
- design, code, test, correct and document simple user interfaces using the right standards and tools under the direction of others","You can:
- collaborate with others to understand and review software requirements
- design, code, test, correct and document user interfaces using the right standards and tools under the direction of others","You can:
- collaborate with others when necessary to review specifications
- use the agreed specifications to build, test and document user interfaces of medium to high complexity, using the right standards and tools","You can:
- advise on the right way to apply standards and methods to ensure compliance
- provide technical advice to stakeholders and set team-based standards for programming tools and techniques
- collaborate with others when required to review specifications
- use specifications to build, test and document user interfaces of high complexity, using the appropriate standards and tools",Frontend developer
Programming and build (software engineering),,"You can:
- understand the process of software development and have a basic knowledge of how services are built","You can:
- design, code, test, correct and document simple programs or scripts under the direction of others","You can:
- collaborate with others when necessary to review specifications
- use the agreed specifications to design, code, test and document programs or scripts of medium-to-high complexity, using the right standards and tools","You can:
- advise on the right way to apply standards and methods to ensure compliance
- maintain technical responsibility for all the stages and iterations of a software development project
- provide technical advice to stakeholders and set the team-based standards for programming tools and techniques","Machine learning engineer, Software developer, Development operations (DevOps) engineer"
Prototyping,"Prototyping a service or product involves exploring, testing and sharing different concepts before committing to the final design.","You can:
- explain what prototyping is, and why and when to use it
- understand how to work in an open and collaborative environment (by pair working, for example)","You can:
- understand when to use a specific prototyping technique or method
- show the value of prototyping to your team","You can:
- approach prototyping as a team activity, actively soliciting prototypes and testing with others
- establish design patterns and iterate them
- use a variety of prototyping methods and choose the most appropriate","You can:
- use a variety of prototyping methods
- share best practice and coach others
- look at strategic service design end to end","Content strategist, Technical writer, Frontend developer, Development operations (DevOps) engineer, Software developer"
Quality assurance of data and analysis,Quality assurance of data and analysis involves sorting and cleansing information so that any conclusions based on it can be made with confidence.,"You can:
- describe some basic data issues and how to check that data and analysis look right
- explain the concept of data being fit for purpose, and the context of the data
- describe some methods for preparing data for analysis
- describe quality assurance processes","You can:
- identify appropriate ways to collect, collate and prepare data
- decide if data and analysis is accurate and fit for purpose
- perform data preparation and cleansing with limited guidance
- undertake quality assurance processes
- peer-review colleagues’ outputs from data analysis to ensure quality","You can:
- set up a system to get data ready for use
- specify how data should be cleansed and prepared
- bring data together from different sources
- communicate the limitations of data","You can:
- set up tools and systems for effectively assuring data and analysis across multiple teams
- use appropriate approaches for verifying and validating data and analysis
- influence senior stakeholders over data and analysis approaches
- coach and mentor others in assuring data and analysis","Performance analyst, Digital evaluator"
Requirements definition and management,Requirements definition and management involves identifying and validating user or business requirements for a product or service.,"You can:
- support identifying, analysing, capturing and validating business and user requirements
- work under supervision to manage requirements and support their prioritisation, within a defined scope
- provide distinct task-based outputs for parts of the project as directed, using a predetermined requirements management life cycle","You can:
- identify, analyse, challenge and validate business and user requirements
- work under limited supervision to co-ordinate and review the prioritisation of requirements
- use appropriate requirements management life cycle methods to complete tasks and outputs related to the project","You can:
- advise on the approach to requirements management within a project or programme
- define the most appropriate requirements management life cycle methods and ensure the requirement can be traced in the design, build, test, tender and evaluation phases
- co-ordinate and review the prioritisation of requirements and engage in the negotiation of solutions to help meet programme objectives","You can:
- direct the approach to requirements management
- enable others to select and apply appropriate life cycle methods
- influence the prioritisation of complex requirement sets, enabling long-term strategic decision making and short-term tactical fixes
- ensure the proposed solutions align with the organisational strategy and vision",Business analyst
Research and innovation,"Keeping actively informed of industry developments to make creative and cost-effective use of emerging technologies and tools, aligned with business goals and user needs.",This skill level is currently not defined.,"You can:
- advise on developments to security properties in technology
- identify new technologies and design their use in a business context","You can:
- contribute to and inform developments on security properties in technology
- identify new technologies and design the use of these in the business context across the organisation
- engage with the broader security community",This skill level is currently not defined.,Security architect
"Research management, leadership and assurance","Leadership and guidance involves providing effective leadership and management through team motivation, decision making, risk management, mediation and professional development","You can:
- explain the importance of working to a user research plan and of following standards for user research","You can:
- ensure research has a clearly defined scope and purpose
- get advice or support from someone more experienced when you need help to ensure research is defined before it starts
- build your understanding of good practice standards for user research
- improve your practice through reflection and feedback","You can:
- evaluate the quality of research against accepted professional standards for user research
- explain what good user research practice involves
- give constructive feedback to other user researchers to ensure work meets good practice standards","You can:
- establish and align user research programmes and teams to meet organisational goals
- synthesise findings from research programmes, producing strategic insights to inform the organisation’s roadmap
- set and assure good practice user research standards for the organisation, including ethics and safeguarding
- assure user research quality across the organisation",User researcher
Security architecture,"You can:
- ensure the organisation’s technical architecture is appropriately resilient to cyber threats and attacks and has appropriate recovery mechanisms
- oversee the use of processes, tools, platforms and other practices needed to effectively implement secure technical architecture
- ensure your supply chain is managing cyber risk based on the level of risk your organisation accepts
Examples of leadership using this skill:
- educating senior leaders on the importance of security in the development of services and products
- deciding when exceptions to security policy and processes are allowed
- getting support for investment to ensure appropriate security in the organisation’s supply chain",,,,,Chief information security officer
Security technology,Security technology involves understanding security architectures and identifying vulnerabilities to prevent and respond to cyber breaches.,"You can: 
- describe some security architectures
- explain why security technology is important","You can:
- explain the effect of vulnerabilities on current and future designs
- share information on a range of systems, but may specialise in one",This skill level is currently not defined.,"You can:
- explain complex system architectures
- identify and explain how easy or difficult it will be to exploit vulnerabilities
- lead and influence security technology in the security industry",Security architect
Service focus,"Service focus involves overseeing the whole service life cycle, including the design, development, deployment and operation of a service.","You can:
- show an awareness of different products and services","You can:
- take inputs and establish coherent frameworks that work","You can:
- see the bigger picture by taking groups of services and investigating how to get the best of underlying services","You can:
- maintain focus on the entire life cycle of the service and ensure it’s at the forefront of readiness activities
- understand and communicate service benefits to end users
- ensure that service focus is championed within your team and actively recommend its adoption","Application operations engineer, Business relationship manager, Problem manager, Service desk manager, Incident manager, IT service manager, Command and control centre manager, End user computing engineer, Infrastructure operations engineer"
